id,question,choice1,choice2,choice3,choice4,solution
1,Choose and circle which word best describes what the person in the picture is thinking or feeling.,playful,comforting,irritated,bored,playful
2,Choose and circle which word best describes what the person in the picture is thinking or feeling.,terrified,upset,arrogant,annoyed,upset
3,Choose and circle which word best describes what the person in the picture is thinking or feeling.,joking,flustered,desire,convinced,desire
4,Choose and circle which word best describes what the person in the picture is thinking or feeling.,joking,insisting,amused,relaxed,insisting
5,Choose and circle which word best describes what the person in the picture is thinking or feeling.,irritated,sarcastic,worried,friendly,worried
6,Choose and circle which word best describes what the person in the picture is thinking or feeling.,aghast,fantasizing,impatient,alarmed,fantasizing
7,Choose and circle which word best describes what the person in the picture is thinking or feeling.,apologetic,friendly,uneasy,dispirited,uneasy
8,Choose and circle which word best describes what the person in the picture is thinking or feeling.,despondent,relieved,shy,excited,despondent
9,Choose and circle which word best describes what the person in the picture is thinking or feeling.,annoyed,hostile,horrified,preoccupied,preoccupied
10,Choose and circle which word best describes what the person in the picture is thinking or feeling.,cautious,insisting,bored,aghast,cautious
11,Choose and circle which word best describes what the person in the picture is thinking or feeling.,terrified,amused,regretful,flirtatious,regretful
12,Choose and circle which word best describes what the person in the picture is thinking or feeling.,indifferent,embarrassed,sceptical,dispirited,sceptical
13,Choose and circle which word best describes what the person in the picture is thinking or feeling.,decisive,anticipating,threatening,shy,anticipating
14,Choose and circle which word best describes what the person in the picture is thinking or feeling.,irritated,disappointed,depressed,accusing,accusing
15,Choose and circle which word best describes what the person in the picture is thinking or feeling.,contemplative,flustered,encouraging,amused,contemplative
16,Choose and circle which word best describes what the person in the picture is thinking or feeling.,irritated,thoughtful,encouraging,sympathetic,thoughtful
17,Choose and circle which word best describes what the person in the picture is thinking or feeling.,doubtful,affectionate,playful,aghast,doubtful
18,Choose and circle which word best describes what the person in the picture is thinking or feeling.,decisive,amused,aghast,bored,decisive
19,Choose and circle which word best describes what the person in the picture is thinking or feeling.,arrogant,grateful,sarcastic,tentative,tentative
20,Choose and circle which word best describes what the person in the picture is thinking or feeling.,dominant,friendly,guilty,horrified,friendly
21,Choose and circle which word best describes what the person in the picture is thinking or feeling.,embarrassed,fantasizing,confused,panicked,fantasizing
22,Choose and circle which word best describes what the person in the picture is thinking or feeling.,preoccupied,grateful,insisting,imploring,preoccupied
23,Choose and circle which word best describes what the person in the picture is thinking or feeling.,contented,apologetic,defiant,curious,defiant
24,Choose and circle which word best describes what the person in the picture is thinking or feeling.,pensive,irritated,excited,hostile,pensive
25,Choose and circle which word best describes what the person in the picture is thinking or feeling.,panicked,incredulous,despondent,interested,interested
26,Choose and circle which word best describes what the person in the picture is thinking or feeling.,alarmed,shy,hostile,anxious,hostile
27,Choose and circle which word best describes what the person in the picture is thinking or feeling.,joking,cautious,arrogant,reassuring,cautious
28,Choose and circle which word best describes what the person in the picture is thinking or feeling.,interested,joking,affectionate,contented,interested
29,Choose and circle which word best describes what the person in the picture is thinking or feeling.,impatient,aghast,irritated,reflective,reflective
30,Choose and circle which word best describes what the person in the picture is thinking or feeling.,grateful,flirtatious,hostile,disappointed,flirtatious
31,Choose and circle which word best describes what the person in the picture is thinking or feeling.,ashamed,confident,joking,dispirited,confident
32,Choose and circle which word best describes what the person in the picture is thinking or feeling.,serious,ashamed,bewildered,alarmed,serious
33,Choose and circle which word best describes what the person in the picture is thinking or feeling.,embarrassed,guilty,fantasizing,concerned,concerned
34,Choose and circle which word best describes what the person in the picture is thinking or feeling.,aghast,baffled,distrustful,terrified,distrustful
35,Choose and circle which word best describes what the person in the picture is thinking or feeling.,puzzled,nervous,insisting,contemplative,nervous
36,Choose and circle which word best describes what the person in the picture is thinking or feeling.,ashamed,nervous,suspicious,indecisive,suspicious
